i-0afbb188b59291364	 + curl -sf -m 4 http://localhost:8000/spec_stats
[  187.508680] cloud-init[1385]: + grep -q '"enabled":true'
[  187.517708] cloud-init[1385]: + sleep 10
[  197.521562] cloud-init[1385]: + for i in {1..150}
[  197.523487] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  197.525341] cloud-init[1385]: + grep -q '"enabled":true'
[  197.552498] cloud-init[1385]: + sleep 10
[  207.556368] cloud-init[1385]: + for i in {1..150}
[  207.556671] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  207.558323] cloud-init[1385]: + grep -q '"enabled":true'
[  207.564431] cloud-init[1385]: + sleep 10
[  217.566863] cloud-init[1385]: + for i in {1..150}
[  217.567954] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  217.572738] cloud-init[1385]: + grep -q '"enabled":true'
[  217.633362] cloud-init[1385]: + sleep 10
[  227.577474] cloud-init[1385]: + for i in {1..150}
[  227.578354] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  227.578433] cloud-init[1385]: + grep -q '"enabled":true'
[  227.797970] cloud-init[1385]: + sleep 10
[  237.800199] cloud-init[1385]: + for i in {1..150}
[  237.800464] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  237.800705] cloud-init[1385]: + grep -q '"enabled":true'
[  237.823392] cloud-init[1385]: + sleep 10
[  247.825870] cloud-init[1385]: + for i in {1..150}
[  247.826866] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  247.828099] cloud-init[1385]: + grep -q '"enabled":true'
[  247.833953] cloud-init[1385]: + sleep 10
[  257.836712] cloud-init[1385]: + for i in {1..150}
[  257.837098] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  257.837334] cloud-init[1385]: + grep -q '"enabled":true'
[  257.846251] cloud-init[1385]: + sleep 10
[  267.848958] cloud-init[1385]: + for i in {1..150}
[  267.849905] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  267.851049] cloud-init[1385]: + grep -q '"enabled":true'
[  267.856849] cloud-init[1385]: + sleep 10
[  277.865324] cloud-init[1385]: + for i in {1..150}
[  277.865913] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  277.866043] cloud-init[1385]: + grep -q '"enabled":true'
[  277.905223] cloud-init[1385]: + sleep 10
[  287.905703] cloud-init[1385]: + for i in {1..150}
[  287.906063] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  287.907618] cloud-init[1385]: + grep -q '"enabled":true'
[  288.012087] cloud-init[1385]: + sleep 10
[  298.013991] cloud-init[1385]: + for i in {1..150}
[  298.015079] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  298.015171] cloud-init[1385]: + grep -q '"enabled":true'
[  298.021693] cloud-init[1385]: + sleep 10
[  308.023936] cloud-init[1385]: + for i in {1..150}
[  308.218401] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  308.218491] cloud-init[1385]: + grep -q '"enabled":true'
[  308.218540] cloud-init[1385]: + sleep 10
[  318.033911] cloud-init[1385]: + for i in {1..150}
[  318.034949] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  318.036096] cloud-init[1385]: + grep -q '"enabled":true'
[  318.041826] cloud-init[1385]: + sleep 10
[  328.044040] cloud-init[1385]: + for i in {1..150}
[  328.044942] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  328.046163] cloud-init[1385]: + grep -q '"enabled":true'
[  328.051897] cloud-init[1385]: + sleep 10
[  338.054212] cloud-init[1385]: + for i in {1..150}
[  338.054397] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  338.055763] cloud-init[1385]: + grep -q '"enabled":true'
[  338.061812] cloud-init[1385]: + sleep 10
[  348.064457] cloud-init[1385]: + for i in {1..150}
[  348.064748] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  348.066382] cloud-init[1385]: + grep -q '"enabled":true'
[  348.072238] cloud-init[1385]: + sleep 10
[  358.075049] cloud-init[1385]: + for i in {1..150}
[  358.075984] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  358.077136] cloud-init[1385]: + grep -q '"enabled":true'
[  358.083472] cloud-init[1385]: + sleep 10
[  368.086149] cloud-init[1385]: + for i in {1..150}
[  368.087077] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  368.087155] cloud-init[1385]: + grep -q '"enabled":true'
[  368.093725] cloud-init[1385]: + sleep 10
[  378.096579] cloud-init[1385]: + for i in {1..150}
[  378.097367] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  378.097443] cloud-init[1385]: + grep -q '"enabled":true'
[  378.106027] cloud-init[1385]: + sleep 10
[  388.108393] cloud-init[1385]: + for i in {1..150}
[  388.108677] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  388.110150] cloud-init[1385]: + grep -q '"enabled":true'
[  388.115879] cloud-init[1385]: + sleep 10
[  398.118912] cloud-init[1385]: + for i in {1..150}
[  398.119539] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  398.119760] cloud-init[1385]: + grep -q '"enabled":true'
[  398.128620] cloud-init[1385]: + sleep 10
[  408.131158] cloud-init[1385]: + for i in {1..150}
[  408.131377] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  408.131535] cloud-init[1385]: + grep -q '"enabled":true'
[  408.140701] cloud-init[1385]: + sleep 10
[  418.142634] cloud-init[1385]: + for i in {1..150}
[  418.143151] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  418.143298] cloud-init[1385]: + grep -q '"enabled":true'
[  418.152341] cloud-init[1385]: + sleep 10
[  428.154819] cloud-init[1385]: + for i in {1..150}
[  428.154990] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  428.156087] cloud-init[1385]: + grep -q '"enabled":true'
[  428.162734] cloud-init[1385]: + sleep 10
[  438.164891] cloud-init[1385]: + for i in {1..150}
[  438.165250] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  438.166869] cloud-init[1385]: + grep -q '"enabled":true'
[  438.172578] cloud-init[1385]: + sleep 10
[  448.175235] cloud-init[1385]: + for i in {1..150}
[  448.175409] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  448.176784] cloud-init[1385]: + grep -q '"enabled":true'
[  448.182875] cloud-init[1385]: + sleep 10
[  458.185707] cloud-init[1385]: + for i in {1..150}
[  458.185875] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  458.186249] cloud-init[1385]: + grep -q '"enabled":true'
[  458.195156] cloud-init[1385]: + sleep 10
[  468.197569] cloud-init[1385]: + for i in {1..150}
[  468.198055] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  468.198294] cloud-init[1385]: + grep -q '"enabled":true'
[  468.205566] cloud-init[1385]: + sleep 10
[  478.208310] cloud-init[1385]: + for i in {1..150}
[  478.209279] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  478.209346] cloud-init[1385]: + grep -q '"enabled":true'
[  478.216252] cloud-init[1385]: + sleep 10
[  488.218433] cloud-init[1385]: + for i in {1..150}
[  488.218839] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  488.220348] cloud-init[1385]: + grep -q '"enabled":true'
[  488.226335] cloud-init[1385]: + sleep 10
[  498.228654] cloud-init[1385]: + for i in {1..150}
[  498.228976] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  498.229093] cloud-init[1385]: + grep -q '"enabled":true'
[  498.238029] cloud-init[1385]: + sleep 10
[  508.240945] cloud-init[1385]: + for i in {1..150}
[  508.241356] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  508.241545] cloud-init[1385]: + grep -q '"enabled":true'
[  508.250436] cloud-init[1385]: + sleep 10
[  518.253520] cloud-init[1385]: + for i in {1..150}
[  518.253788] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  518.255383] cloud-init[1385]: + grep -q '"enabled":true'
[  518.261222] cloud-init[1385]: + sleep 10
[  528.263706] cloud-init[1385]: + for i in {1..150}
[  528.263947] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  528.264276] cloud-init[1385]: + grep -q '"enabled":true'
[  528.273163] cloud-init[1385]: + sleep 10
[  538.275696] cloud-init[1385]: + for i in {1..150}
[  538.275884] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  538.276280] cloud-init[1385]: + grep -q '"enabled":true'
[  538.285195] cloud-init[1385]: + sleep 10
[  548.287580] cloud-init[1385]: + for i in {1..150}
[  548.287974] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  548.288473] cloud-init[1385]: + grep -q '"enabled":true'
[  548.297523] cloud-init[1385]: + sleep 10
[  558.300596] cloud-init[1385]: + for i in {1..150}
[  558.301112] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  558.302717] cloud-init[1385]: + grep -q '"enabled":true'
[  558.308752] cloud-init[1385]: + sleep 10
[  568.311154] cloud-init[1385]: + for i in {1..150}
[  568.311453] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  568.313289] cloud-init[1385]: + grep -q '"enabled":true'
[  568.319292] cloud-init[1385]: + sleep 10
[  578.321738] cloud-init[1385]: + for i in {1..150}
[  578.321914] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  578.323666] cloud-init[1385]: + grep -q '"enabled":true'
[  578.329687] cloud-init[1385]: + sleep 10
[  588.332146] cloud-init[1385]: + for i in {1..150}
[  588.332364] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  588.332593] cloud-init[1385]: + grep -q '"enabled":true'
[  588.340104] cloud-init[1385]: + sleep 10
[  598.342517] cloud-init[1385]: + for i in {1..150}
[  598.342826] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  598.342919] cloud-init[1385]: + grep -q '"enabled":true'
[  598.351928] cloud-init[1385]: + sleep 10
[  608.354345] cloud-init[1385]: + for i in {1..150}
[  608.356563] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  608.357602] cloud-init[1385]: + grep -q '"enabled":true'
[  608.362460] cloud-init[1385]: + sleep 10
[  618.365146] cloud-init[1385]: + for i in {1..150}
[  618.365428] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  618.365529] cloud-init[1385]: + grep -q '"enabled":true'
[  618.374663] cloud-init[1385]: + sleep 10
[  628.378072] cloud-init[1385]: + for i in {1..150}
[  628.378301] cloud-init[1385]: + curl -sf -m 4 http://localhost:8000/spec_stats
[  628.378460] cloud-init[1385]: + grep -q '"enabled":true'
